name,K1022N1_GN1_mean_score,K1030N1_GN1_mean_score,K1040N1_GN1_mean_score,K1063N1_GN1_mean_score,K1065N1_GN1_mean_score,K1013T2_GB1_mean_score,K1030T1_GB1_mean_score,K1030T2_GB1_mean_score,K1030T3_GB1_mean_score,K1063T1_GB1_mean_score,K1063T2_GB1_mean_score,K1184T1_GA1_mean_score,K1040T1_GB1_mean_score,K1022T1_GB1_mean_score
ARNT::HIF1A,0.16868,0.17588,0.23167,0.14841,0.16466,0.25182,0.16591,0.21294,0.23289,0.14522,0.13434,0.08051,0.20879,0.16661
MAF::NFE2,0.18184,0.23778,0.33232,0.17513,0.20701,0.24583,0.14907,0.19792,0.22306,0.14796,0.11552,0.09407,0.20876,0.14054
RFX4,0.15659,0.17327,0.22424,0.13332,0.14946,0.24238,0.15451,0.17405,0.22098,0.13803,0.11615,0.06216,0.20806,0.14719
TFEC,0.17042,0.18094,0.23717,0.14851,0.16982,0.25523,0.15022,0.22434,0.24758,0.14243,0.13505,0.08165,0.20762,0.16137
INSM1,0.13403,0.15295,0.20491,0.12218,0.13949,0.22335,0.14739,0.19716,0.21861,0.12186,0.11588,0.07269,0.20722,0.15741
ZNF692,0.15214,0.17086,0.22818,0.13927,0.1574,0.23982,0.15806,0.20254,0.22705,0.13126,0.12442,0.07811,0.20702,0.15669
ZFP14,0.14507,0.16764,0.21863,0.13338,0.15029,0.23971,0.15784,0.20686,0.23005,0.13282,0.12524,0.0751,0.20689,0.14915
FOSL1::JUNB,0.22023,0.28737,0.41532,0.21993,0.25482,0.27039,0.16404,0.23348,0.2457,0.17358,0.13207,0.1181,0.20688,0.16911
Bach1::Mafk,0.18693,0.24098,0.33028,0.17836,0.2104,0.25552,0.158,0.20554,0.23306,0.14944,0.12095,0.09596,0.20672,0.1587
ERF::FIGLA,0.16179,0.18293,0.23377,0.14178,0.16348,0.23837,0.15915,0.1955,0.22905,0.13589,0.12661,0.06884,0.20614,0.16605
ERF::NHLH1,0.17224,0.18577,0.24111,0.15289,0.17267,0.25969,0.17522,0.2205,0.25008,0.14936,0.14134,0.07928,0.20562,0.1738
CTCF,0.18732,0.21085,0.26774,0.16737,0.18777,0.29519,0.21912,0.27035,0.37284,0.17893,0.15418,0.08181,0.2056,0.16925
