"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CDCA7L",2.41163253621266e-15,0.896458440839618,0.384,0.153,4.17742987922757e-11
"RASSF3",2.41470518704944e-15,0.670252956206002,0.533,0.264,4.18275232500704e-11
"PABIR2",2.4327952421479e-15,0.829826485778241,0.336,0.111,4.21408791844859e-11
"ARHGEF10L",2.44086943568565e-15,-1.30523347741211,0.49,0.582,4.22807403649469e-11
"KIF23",2.52477937914329e-15,1.1121441212765,0.302,0.1,4.37342284055201e-11
"UTP14A",2.72232174628256e-15,0.823679519409705,0.329,0.117,4.71560572891065e-11
"GALNT2",2.84463397715412e-15,0.716926300658959,0.773,0.517,4.92747497522636e-11
"MRPS25",2.99210991628941e-15,0.562112425453951,0.393,0.167,5.18293279699652e-11
"SCAP",3.01698676177315e-15,1.0019502322225,0.311,0.075,5.22602446874346e-11
"PFN1",3.04769279603647e-15,0.905390301192851,0.525,0.293,5.27921346129437e-11
"RRP1B",3.11229708878729e-15,0.715367737317951,0.408,0.163,5.39112101719734e-11
"LRRCC1",3.11312855967705e-15,1.58332295148814,0.252,0.059,5.39256129107258e-11
"DGLUCY",3.22533056092502e-15,0.577189887770576,0.472,0.235,5.58691759763432e-11
"TRIM9",3.31754901623835e-15,1.42836234274769,0.412,0.186,5.74665840592806e-11
"STK35",3.39508419522222e-15,0.561856050298905,0.588,0.311,5.88096484296392e-11
"MTA3",3.50841682729063e-15,0.551698779035901,0.647,0.37,6.07727962823283e-11
"TAF7",3.57254172968653e-15,0.598730317704301,0.544,0.311,6.18835678416301e-11
"PDP2",3.62465688943823e-15,1.08233559399779,0.263,0.061,6.2786306638849e-11
"PPP1CC",3.64813390836493e-15,0.85973440279843,0.489,0.24,6.31929755606973e-11
"TBC1D2B",3.65228594207435e-15,1.03719319490697,0.4,0.147,6.32648970886119e-11
"MGME1",3.72798098349164e-15,0.851761412194232,0.455,0.198,6.45760865960422e-11
"UBTD2",3.73908880581006e-15,0.690042998704893,0.599,0.314,6.47684962942418e-11
"CENPI",3.74685932700886e-15,1.96428767884608,0.283,0.059,6.49030972624474e-11
"RFX7",3.76875080054332e-15,0.718630464103081,0.766,0.488,6.52823013670114e-11
"DUSP14",3.84127632130967e-15,0.599594712250562,0.311,0.123,6.65385884377261e-11
"GNAS",3.95961147541088e-15,0.68581901625254,0.867,0.705,6.85883899770673e-11
"TMED8",4.15631739850052e-15,0.681539608174504,0.361,0.151,7.1995729976826e-11
"RPL35A",4.17550504838935e-15,1.07765167119959,0.564,0.334,7.23280984482003e-11
"ELF4",4.30125509287829e-15,1.00861834406321,0.331,0.113,7.45063407188377e-11
"BOD1",4.37927144697492e-15,0.763620631463417,0.288,0.087,7.58577400044995e-11
"TARBP1",4.3817395991869e-15,0.907717576503507,0.511,0.226,7.59004933371155e-11
"SLC25A33",4.48750817349078e-15,0.80872058356826,0.29,0.1,7.77326165812072e-11
"SDCCAG8",4.49528552810288e-15,0.746646097208404,0.801,0.624,7.78673359177981e-11
"AMMECR1",4.52235759800072e-15,0.702731355874599,0.6,0.297,7.83362783125685e-11
"STAM",4.58554559281426e-15,0.669274080978974,0.541,0.285,7.94308207587285e-11
"RELN",4.63097300299597e-15,1.82095395409114,0.499,0.305,8.02177143578962e-11
"PGAP1",4.65272093978225e-15,0.734329644671441,0.513,0.226,8.05944321189081e-11
"UNKL",4.69060765256525e-15,0.97518359171017,0.293,0.084,8.12507057577353e-11
"GNB4",4.73454606617316e-15,0.68711320359054,0.395,0.162,8.20118069582515e-11
"ZNF710",4.80319940851272e-15,0.774539426007053,0.315,0.108,8.32010201542573e-11
"CREB3L2",4.84104610998007e-15,0.743460710172801,0.623,0.352,8.38566007170749e-11
"MKLN1",4.85499659412461e-15,0.661203304353816,0.884,0.736,8.40982510034264e-11
"TDP1",4.92853976085505e-15,1.02257310802944,0.353,0.133,8.53721657375311e-11
"OSTC",4.98410160523939e-15,0.50269080977959,0.388,0.159,8.63346080059567e-11
"LOXL1",5.02685741571518e-15,1.54958760150356,0.255,0.063,8.70752241550184e-11
"RIOX2",5.24739699103934e-15,0.564365083363002,0.313,0.13,9.08954106787835e-11
"PSAP",5.27637082309768e-15,-0.817007592280429,0.684,0.758,9.13972953976979e-11
"SREBF1",5.36381643112958e-15,0.584716012896585,0.459,0.235,9.29120282200266e-11
"GYPC",5.46181433025352e-15,0.611326587701758,0.296,0.118,9.46095478286515e-11
"MBNL2",5.57500015041483e-15,-0.79018282421182,0.877,0.888,9.65701526054857e-11
"ECT2",5.62640625638538e-15,1.23201039335126,0.572,0.29,9.74606091731075e-11
"PARP1",5.66792544808101e-15,0.770907811125598,0.54,0.285,9.81798046116593e-11
