"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PRTG",5.24455252506055e-77,-4.15338081649405,0.053,0.619,9.08461388390989e-73
"SDK1",1.06176129787441e-76,-1.52439935740329,0.73,0.979,1.83918292017805e-72
"LAMP2",1.29162886335427e-76,1.65702187604779,0.887,0.808,2.23735951710227e-72
"ATP8B1",2.38543459802178e-76,-2.27738068668579,0.245,0.837,4.13204981069333e-72
"CA2",2.76479833787319e-76,-2.63932750459064,0.143,0.725,4.78918368086393e-72
"KIAA0040",4.61162235170174e-76,-2.92494227966182,0.102,0.644,7.98825223761776e-72
"ALDH1A2",4.831315157875e-76,-3.46000918577237,0.077,0.656,8.36880411647108e-72
"SETBP1",1.27196861713543e-75,-1.7358410811225,0.565,0.952,2.203304038602e-71
"FOXP1",1.54850104999896e-75,-1.23819436702245,0.787,0.986,2.6823135188082e-71
"COL4A3",1.84445897838802e-75,-2.48412272769292,0.358,0.882,3.19497184236374e-71
"STEAP2",1.85573171457585e-75,-3.96024044030645,0.034,0.56,3.21449847598829e-71
"GLS",2.02750097580206e-75,-1.27974010821976,0.968,0.998,3.51203719028434e-71
"MERTK",2.12948897209972e-75,-4.78837227084353,0.028,0.56,3.68870079747114e-71
"ADK",2.2183447774536e-75,-1.37886489902802,0.75,0.973,3.84261682350512e-71
"LRRN4",3.10562127044365e-75,-3.10991995222391,0.127,0.715,5.37955716466249e-71
"BCAR3",1.11923301771702e-74,-2.27013168531597,0.434,0.899,1.93873543328943e-70
"MCTP1",1.18291053987563e-74,-2.67093886381741,0.346,0.859,2.04903763717257e-70
"CD47",1.55649795688072e-74,-1.82713544862255,0.537,0.92,2.69616576090879e-70
"GMDS",1.73445211304157e-74,-1.70359681780038,0.614,0.965,3.00441795021061e-70
"CLDN1",2.40808350969647e-74,-1.84686088777565,0.501,0.963,4.17128225549623e-70
"ACTR3C",7.13004307068299e-74,-1.77528562093469,0.315,0.869,1.23506606070371e-69
"FBLIM1",8.03253239187863e-74,-2.8868533708973,0.104,0.707,1.39139526092122e-69
"MYO1E",1.09443629831962e-73,-1.22332431351616,0.94,0.998,1.89578255594925e-69
"DMKN",1.20615633144398e-73,-5.25807089011765,0.013,0.531,2.08930399732726e-69
"MYO6",1.97481703815266e-73,-1.57228573651703,0.754,0.976,3.42077807348804e-69
"EML1",4.42937313157285e-73,-2.20148185983599,0.394,0.86,7.67256013851049e-69
"MID1",6.77534837068227e-73,-2.27127395662897,0.322,0.865,1.17362584476958e-68
"MCU",9.50900232632194e-73,-1.49578315322215,0.755,0.972,1.64714938296549e-68
"DPYSL3",1.26426023392605e-72,4.18546720166359,0.602,0.13,2.1899515772067e-68
"FOSL2",1.50947800609039e-72,-1.34125319563129,0.703,0.952,2.61471780214978e-68
"MRC2",2.47803856379746e-72,3.92572934857014,0.639,0.126,4.29245840020996e-68
"MARVELD2",4.43696711702561e-72,-3.27582982183158,0.067,0.628,7.68571444011177e-68
"SORL1",5.76553795130459e-72,-1.94526198686103,0.293,0.855,9.98706483924982e-68
"MAPK10",7.14565143149511e-72,-1.58692879765372,0.479,0.942,1.23776974096358e-67
"C3orf52",7.83028979068973e-72,-3.08018839176393,0.128,0.671,1.35636279754327e-67
"GBP2",1.35951400870211e-71,-2.17689244316826,0.259,0.801,2.35495016587379e-67
"ESRP1",1.62183323772097e-71,-6.09859149562939,0.007,0.522,2.80933953438026e-67
"LAPTM4B",2.01622987138755e-71,-1.93709540324604,0.347,0.862,3.49251338321752e-67
"KMT2E",7.26549245724288e-71,1.28107047265771,0.942,0.915,1.25852860344361e-66
"MFAP3L",9.00383802372183e-71,-4.15839173973216,0.034,0.553,1.55964482246909e-66
"AJAP1",9.06019952506958e-71,-7.09457772447762,0.01,0.536,1.56940776173255e-66
"TRAPPC9",1.25408800647331e-70,-1.24013082977293,0.776,0.97,2.17233124481307e-66
"CLDN7",2.22059608037809e-70,-7.17810865978482,0.003,0.48,3.84651653043093e-66
